episode_id,intrinsic_reward,type,ged,ig,timestamp,similarity,avg_similarity
1,0.1,initial,0.1,0.0,2025-06-19T02:30:01.446305,,
2,0.1,initial,0.1,0.0,2025-06-19T02:30:01.492664,,
3,0.18930935183167458,medium,0.37561870366334915,0.003,2025-06-19T02:30:01.550460,0.2487625926733017,0.2487625926733017
4,0.19894994017481804,medium,0.3938998803496361,0.004,2025-06-19T02:30:01.594985,0.21220023930072784,0.21220023930072784
5,0.15192358434200287,medium,0.29884716868400574,0.005,2025-06-19T02:30:01.638044,0.4023056626319885,0.4023056626319885
6,0.20779006320238114,high,0.40958012640476227,0.006,2025-06-19T02:30:01.682934,0.10925974696874619,0.18083974719047546
7,0.18496492540836335,medium,0.3629298508167267,0.007,2025-06-19T02:30:01.727016,0.17878329753875732,0.27414029836654663
8,0.18570982599258423,medium,0.36341965198516846,0.008,2025-06-19T02:30:01.771619,0.23562857508659363,0.2731606960296631
9,0.18656261098384858,medium,0.36412522196769714,0.009000000000000001,2025-06-19T02:30:01.818216,0.3436635136604309,0.2717495560646057
10,0.1867590966820717,medium,0.36351819336414337,0.01,2025-06-19T02:30:01.862402,0.3052228093147278,0.27296361327171326
11,0.17296832430362702,medium,0.33493664860725403,0.011,2025-06-19T02:30:01.907707,0.4452669024467468,0.33012670278549194
12,0.17222066497802735,medium,0.3324413299560547,0.012,2025-06-19T02:30:01.952709,0.35290342569351196,0.3351173400878906
13,0.2158552127480507,high,0.4187104254961014,0.013000000000000001,2025-06-19T02:30:01.996112,0.2303990125656128,0.16257914900779724
14,0.2088566057085991,high,0.4037132114171982,0.014,2025-06-19T02:30:02.038232,0.32440274953842163,0.19257357716560364
15,0.19478536367416383,medium,0.37457072734832764,0.015,2025-06-19T02:30:02.080731,0.2648274004459381,0.2508585453033447
16,0.20596081632375718,high,0.39592163264751434,0.016,2025-06-19T02:30:02.123122,0.19541895389556885,0.2081567347049713
17,0.2114535062611103,high,0.4059070125222206,0.017,2025-06-19T02:30:02.165424,0.17232778668403625,0.18818597495555878
18,0.2019333582520485,high,0.385866716504097,0.018000000000000002,2025-06-19T02:30:02.207967,0.32082581520080566,0.22826656699180603
19,0.22874721263349057,high,0.4384944252669811,0.019,2025-06-19T02:30:02.250395,0.11090157181024551,0.12301114946603775
20,0.21588329434394837,high,0.41176658868789673,0.02,2025-06-19T02:30:02.292634,0.05852242559194565,0.17646682262420654
21,0.20132878902554513,high,0.38165757805109024,0.021,2025-06-19T02:30:02.335001,0.23876263201236725,0.23668484389781952
22,0.2156528346836567,high,0.4093056693673134,0.022,2025-06-19T02:30:02.377270,0.1687723696231842,0.18138866126537323
23,0.19810318851470948,medium,0.37320637702941895,0.023,2025-06-19T02:30:02.420039,0.29248732328414917,0.2535872459411621
24,0.2016079406142235,high,0.37921588122844696,0.024,2025-06-19T02:30:02.463032,0.19923141598701477,0.24156823754310608
25,0.17595863044261933,medium,0.32691726088523865,0.025,2025-06-19T02:30:02.506298,0.24447792768478394,0.3461654782295227
26,0.18270501840114595,medium,0.33941003680229187,0.026000000000000002,2025-06-19T02:30:02.549458,0.46551066637039185,0.32117992639541626
27,0.18421419954299928,medium,0.34142839908599854,0.027,2025-06-19T02:30:02.591931,0.4163065254688263,0.31714320182800293
28,0.1976560368537903,medium,0.36731207370758057,0.028,2025-06-19T02:30:02.634341,0.3340933918952942,0.26537585258483887
