key,value
success_rate,0.5625
avg_steps,198.375
avg_edges,199.46875
g0_mean,0.05106629035204478
gmin_mean,0.04827569651143619
avg_k_star,1.096723377441714
avg_delta_sp,0.0
avg_delta_sp_min,0.0027905938406085893
best_hop_mean,0.15012602394454946
best_hop_hist_0,6144.0
best_hop_hist_1,23.0
best_hop_hist_2,47.0
best_hop_hist_3,134.0
avg_time_ms_eval,147.3151168199658
p95_time_ms_eval,948.9457239978947
ag_rate,0.232
dg_rate,0.388
edge_compression_base,mem
edge_compression,0.9911285995349669
g0_p95,0.4999999910268586
g0_min,-0.4999999999985575
g0_max,0.6435649237040375
