insight_id,episode_id,episode_text,ged_value,ig_value,confidence,insight_type,detection_timestamp
SAFE_INS_0005_8383,5,"Recent research in Federated Learning achieves breakthrough performance on medical diagnosis, showin...",0.201772634190576,0.07806033376040071,0.13991648397548836,Notable_Pattern,2025-06-18T12:03:48.383094
SAFE_INS_0006_8413,6,"Recent research in Explainable AI achieves breakthrough performance on medical diagnosis, showing pr...",0.1290847962933513,0.12128053482783205,0.12518266556059165,Notable_Pattern,2025-06-18T12:03:48.413554
SAFE_INS_0007_8445,7,"Recent research in Multimodal Learning achieves breakthrough performance on medical diagnosis, showi...",0.18618620264367064,0.08142325328293173,0.13380472796330117,Notable_Pattern,2025-06-18T12:03:48.445510
SAFE_INS_0008_8477,8,"Recent research in Few-shot Learning achieves breakthrough performance on medical diagnosis, showing...",0.1439415994569714,0.1190268138691642,0.13148420666306782,Notable_Pattern,2025-06-18T12:03:48.477302
SAFE_INS_0011_8572,11,"Recent research in Large Language Models introduces novel architecture for medical diagnosis, showin...",0.04297321594506053,0.1599999672372135,0.10148659159113702,Notable_Pattern,2025-06-18T12:03:48.572149
SAFE_INS_0012_8603,12,"Recent research in Computer Vision introduces novel architecture for medical diagnosis, showing prom...",0.04042516171078968,0.15999998511860586,0.10021257341469778,Notable_Pattern,2025-06-18T12:03:48.603251
SAFE_INS_0013_8634,13,"Recent research in Reinforcement Learning introduces novel architecture for medical diagnosis, showi...",0.03236129564845423,0.16000000299999997,0.0961806493242271,Micro_Insight,2025-06-18T12:03:48.634528
SAFE_INS_0014_8665,14,"Recent research in Graph Neural Networks introduces novel architecture for medical diagnosis, showin...",0.04692409059169644,0.18000000299999996,0.1134620467958482,Notable_Pattern,2025-06-18T12:03:48.665536
SAFE_INS_0015_8696,15,"Recent research in Federated Learning introduces novel architecture for medical diagnosis, showing p...",0.03665626530018611,0.17999998511860585,0.10832812520939598,Notable_Pattern,2025-06-18T12:03:48.696409
SAFE_INS_0016_8726,16,"Recent research in Explainable AI introduces novel architecture for medical diagnosis, showing promi...",0.04071891262004568,0.18000000299999996,0.11035945781002282,Notable_Pattern,2025-06-18T12:03:48.726797
SAFE_INS_0017_8758,17,"Recent research in Multimodal Learning introduces novel architecture for medical diagnosis, showing ...",0.03248481590361631,0.19999996723721347,0.11624239157041488,Notable_Pattern,2025-06-18T12:03:48.758107
SAFE_INS_0018_8789,18,"Recent research in Few-shot Learning introduces novel architecture for medical diagnosis, showing pr...",0.04291593478255803,0.18000000299999996,0.111457968891279,Notable_Pattern,2025-06-18T12:03:48.789659
SAFE_INS_0019_8820,19,"Recent research in Transfer Learning introduces novel architecture for medical diagnosis, showing pr...",0.03585329327454348,0.1800000029999996,0.10792664813727154,Notable_Pattern,2025-06-18T12:03:48.820127
SAFE_INS_0020_8852,20,"Recent research in Adversarial Machine Learning introduces novel architecture for medical diagnosis,...",0.029100945463336136,0.14000000299999993,0.08455047423166803,Micro_Insight,2025-06-18T12:03:48.852496
SAFE_INS_0021_8882,21,"Recent research in Large Language Models demonstrates significant improvement in medical diagnosis, ...",0.04247128387495293,0.12000000299999994,0.08123564343747644,Micro_Insight,2025-06-18T12:03:48.882657
SAFE_INS_0022_8913,22,"Recent research in Computer Vision demonstrates significant improvement in medical diagnosis, showin...",0.04092492581768548,0.19999998511860584,0.12046245546814566,Notable_Pattern,2025-06-18T12:03:48.913329
SAFE_INS_0023_8944,23,"Recent research in Reinforcement Learning demonstrates significant improvement in medical diagnosis,...",0.032398534098916146,0.16000000299999997,0.09619926854945807,Micro_Insight,2025-06-18T12:03:48.944618
SAFE_INS_0024_8975,24,"Recent research in Graph Neural Networks demonstrates significant improvement in medical diagnosis, ...",0.04084491871921231,0.15999994935581724,0.10042243403751477,Notable_Pattern,2025-06-18T12:03:48.975434
SAFE_INS_0025_9007,25,"Recent research in Federated Learning demonstrates significant improvement in medical diagnosis, sho...",0.04126842363175709,0.18000000299999996,0.11063421331587853,Notable_Pattern,2025-06-18T12:03:49.007268
SAFE_INS_0026_9038,26,"Recent research in Explainable AI demonstrates significant improvement in medical diagnosis, showing...",0.03342066307906862,0.15999998511860586,0.09671032409883724,Micro_Insight,2025-06-18T12:03:49.038755
SAFE_INS_0027_9067,27,"Recent research in Multimodal Learning demonstrates significant improvement in medical diagnosis, sh...",0.03560807999672413,0.18000000299999996,0.10780404149836205,Notable_Pattern,2025-06-18T12:03:49.067747
SAFE_INS_0028_9096,28,"Recent research in Few-shot Learning demonstrates significant improvement in medical diagnosis, show...",0.044200057163600016,0.20000000299999995,0.12210003008179998,Notable_Pattern,2025-06-18T12:03:49.096421
SAFE_INS_0029_9125,29,"Recent research in Transfer Learning demonstrates significant improvement in medical diagnosis, show...",0.03928188441041598,0.18000000299999996,0.10964094370520797,Notable_Pattern,2025-06-18T12:03:49.125435
