run_id,H,k,latency_ms
pszH2_k8_anthropic,2,8,19177.11
pszH2_k8_anthropic,2,8,19027.38
pszH2_k8_anthropic,2,8,15356.66
pszH2_k8_anthropic,2,8,17587.65
pszH2_k8_anthropic,2,8,15070.14
pszH2_k8_anthropic,2,8,16617.73
pszH2_k8_anthropic,2,8,19155.64
pszH2_k8_anthropic,2,8,15106.29
pszH2_k8_anthropic,2,8,15133.73
pszH2_k8_anthropic,2,8,16445.72
pszH2_k8_anthropic,2,8,23192.88
pszH2_k8_anthropic,2,8,18803.98
pszH2_k8_anthropic,2,8,16962.68
pszH2_k8_anthropic,2,8,13388.38
pszH2_k8_anthropic,2,8,12522.67
pszH2_k8_anthropic,2,8,16869.20
pszH2_k8_anthropic,2,8,16867.94
pszH2_k8_anthropic,2,8,14538.75
pszH2_k8_anthropic,2,8,18912.45
pszH2_k8_anthropic,2,8,15727.90
pszH2_k8_anthropic,2,8,17569.22
