run_id,H,k,latency_ms
pszH2_k6_anthropic,2,6,18817.57
pszH2_k6_anthropic,2,6,24148.69
pszH2_k6_anthropic,2,6,16443.49
pszH2_k6_anthropic,2,6,16271.87
pszH2_k6_anthropic,2,6,14301.62
pszH2_k6_anthropic,2,6,18028.29
pszH2_k6_anthropic,2,6,21790.47
pszH2_k6_anthropic,2,6,18517.64
pszH2_k6_anthropic,2,6,17738.54
pszH2_k6_anthropic,2,6,15778.31
pszH2_k6_anthropic,2,6,17778.60
pszH2_k6_anthropic,2,6,18907.24
pszH2_k6_anthropic,2,6,18317.74
pszH2_k6_anthropic,2,6,16004.67
pszH2_k6_anthropic,2,6,15017.53
pszH2_k6_anthropic,2,6,19928.52
pszH2_k6_anthropic,2,6,16639.77
pszH2_k6_anthropic,2,6,13379.68
pszH2_k6_anthropic,2,6,16016.17
pszH2_k6_anthropic,2,6,17263.55
pszH2_k6_anthropic,2,6,14774.48
