run_id,H,k,latency_ms
pszH1_k6_anthropic,1,6,16423.91
pszH1_k6_anthropic,1,6,17434.43
pszH1_k6_anthropic,1,6,13956.73
pszH1_k6_anthropic,1,6,19315.55
pszH1_k6_anthropic,1,6,16545.75
pszH1_k6_anthropic,1,6,15002.64
pszH1_k6_anthropic,1,6,17802.42
pszH1_k6_anthropic,1,6,19252.79
pszH1_k6_anthropic,1,6,16788.37
pszH1_k6_anthropic,1,6,19338.32
pszH1_k6_anthropic,1,6,17689.65
pszH1_k6_anthropic,1,6,15855.25
pszH1_k6_anthropic,1,6,16518.28
pszH1_k6_anthropic,1,6,16138.31
pszH1_k6_anthropic,1,6,28807.23
pszH1_k6_anthropic,1,6,25120.27
pszH1_k6_anthropic,1,6,17814.35
pszH1_k6_anthropic,1,6,16043.87
pszH1_k6_anthropic,1,6,11577.30
pszH1_k6_anthropic,1,6,18894.47
pszH1_k6_anthropic,1,6,21246.72
