run_id,H,k,latency_ms
pszH3_k8_anthropic,3,8,17214.79
pszH3_k8_anthropic,3,8,19466.02
pszH3_k8_anthropic,3,8,16879.90
pszH3_k8_anthropic,3,8,18307.96
pszH3_k8_anthropic,3,8,17111.31
pszH3_k8_anthropic,3,8,18667.17
pszH3_k8_anthropic,3,8,16812.61
pszH3_k8_anthropic,3,8,22883.55
pszH3_k8_anthropic,3,8,15526.13
pszH3_k8_anthropic,3,8,16343.73
pszH3_k8_anthropic,3,8,19711.77
pszH3_k8_anthropic,3,8,18532.72
pszH3_k8_anthropic,3,8,14879.08
pszH3_k8_anthropic,3,8,15428.71
pszH3_k8_anthropic,3,8,12394.20
pszH3_k8_anthropic,3,8,23280.56
pszH3_k8_anthropic,3,8,19675.83
pszH3_k8_anthropic,3,8,14016.92
pszH3_k8_anthropic,3,8,15213.69
pszH3_k8_anthropic,3,8,18691.88
pszH3_k8_anthropic,3,8,15447.41
