run_id,H,k,latency_ms
pszH3_k4_anthropic,3,4,16078.87
pszH3_k4_anthropic,3,4,20604.68
pszH3_k4_anthropic,3,4,18788.44
pszH3_k4_anthropic,3,4,15150.99
pszH3_k4_anthropic,3,4,14929.77
pszH3_k4_anthropic,3,4,22152.38
pszH3_k4_anthropic,3,4,15403.00
pszH3_k4_anthropic,3,4,27306.73
pszH3_k4_anthropic,3,4,15323.40
pszH3_k4_anthropic,3,4,19389.49
pszH3_k4_anthropic,3,4,20346.63
pszH3_k4_anthropic,3,4,20053.14
pszH3_k4_anthropic,3,4,16939.47
pszH3_k4_anthropic,3,4,14681.10
pszH3_k4_anthropic,3,4,14103.66
pszH3_k4_anthropic,3,4,17542.21
pszH3_k4_anthropic,3,4,14059.95
pszH3_k4_anthropic,3,4,14846.70
pszH3_k4_anthropic,3,4,15256.61
pszH3_k4_anthropic,3,4,16281.92
pszH3_k4_anthropic,3,4,15496.10
